,read_new,Term
1,6A61,Attention deficit hyperactivity disorder annual review
2,8BPT,Drug therapy for ADHD (attention deficit hyperactivity disorder)
3,9Ngp,On drug therapy for ADHD (attention deficit hyperactivity disorder)
4,9Ol8,Attention deficit hyperactivity disorder monitoring invitation first letter
5,9Ol9,Attention deficit hyperactivity disorder monitoring invitation second letter
6,9OlA,Attention deficit hyperactivity disorder monitoring invitation third letter
7,E2E,Overactive child syndrome
8,E2E,Childhood hyperkinetic syndrome
9,Eu90,[X]Hyperkinetic disorders
10,Eu9y7,Attention deficit disorder
