"","read_code","term_description"
"1","cg5..","METHADONE HCL [COUGH]"
"2","cg51.","METHADONE 2mg/5mL linctus"
"3","dj3..","BUPRENORPHINE"
"4","dj31.","TEMGESIC 200microgram sublingual tablets"
"5","dj32.","TEMGESIC 300micrograms/1mL injection"
"6","dj33.","TEMGESIC 600microgram/2mL injection"
"7","dj34.","TEMGESIC 400microgram sublingual tablets"
"8","dj35.","BUPRENORPHINE 400microgram sublingual tablets"
"9","dj36.","SUBUTEX 400micrograms sublingual tablets"
"10","dj37.","SUBUTEX 2mg sublingual tablets"
"11","dj38.","SUBUTEX 8mg sublingual tablets"
"12","dj39.","TRANSTEC 35micrograms/hour patches"
"13","dj3A.","BUTRANS 5micrograms/hour patches"
"14","dj3B.","BUTRANS 10micrograms/hour patches"
"15","dj3C.","BUTRANS 20micrograms/hour patches"
"16","dj3D.","BUPRENORPHINE+NALOXONE 2mg/0.5mg sublingual tablets"
"17","dj3E.","SUBOXONE 2mg/0.5mg sublingual tablets"
"18","dj3F.","BUPRENORPHINE+NALOXONE 8mg/2mg sublingual tablets"
"19","dj3G.","SUBOXONE 8mg/2mg sublingual tablets"
"20","dj3H.","HAPOCTASIN 70micrograms/hour patches"
"21","dj3I.","HAPOCTASIN 52.5micrograms/hour patches"
"22","dj3J.","HAPOCTASIN 35micrograms/hour patches"
"23","dj3K.","NATZON 400micrograms sublingual tablets"
"24","dj3L.","NATZON 2mg sublingual tablets"
"25","dj3M.","NATZON 8mg sublingual tablets"
"26","dj3N.","GABUP 400micrograms sublingual tablets"
"27","dj3O.","GABUP 1mg sublingual tablets"
"28","dj3P.","GABUP 2mg sublingual tablets"
"29","dj3Q.","GABUP 4mg sublingual tablets"
"30","dj3R.","GABUP 6mg sublingual tablets"
"31","dj3S.","GABUP 8mg sublingual tablets"
"32","dj3T.","BUPRENORPHINE 1mg sublingual tablets"
"33","dj3U.","BUPRENORPHINE 4mg sublingual tablets"
"34","dj3V.","BUPRENORPHINE 6mg sublingual tablets"
