Code,Description,Entity
667B.00,Nocturnal epilepsy,diagnostic
F132100,Progressive myoclonic epilepsy,diagnostic
F25..00,Epilepsy,diagnostic
F250.00,Generalised nonconvulsive epilepsy,diagnostic
F250000,Petit mal (minor) epilepsy,diagnostic
F250011,Epileptic absences,diagnostic
F250100,Pykno-epilepsy,diagnostic
F250200,Epileptic seizures - atonic,diagnostic
F250300,Epileptic seizures - akinetic,diagnostic
F250500,Lennox-Gastaut syndrome,diagnostic
F250y00,Other specified generalised nonconvulsive epilepsy,diagnostic
F250z00,Generalised nonconvulsive epilepsy NOS,diagnostic
F251.00,Generalised convulsive epilepsy,diagnostic
F251000,Grand mal (major) epilepsy,diagnostic
F251111,Otohara syndrome,diagnostic
F251200,Epileptic seizures - clonic,diagnostic
F251300,Epileptic seizures - myoclonic,diagnostic
F251400,Epileptic seizures - tonic,diagnostic
F251500,Tonic-clonic epilepsy,diagnostic
F251y00,Other specified generalised convulsive epilepsy,diagnostic
F251z00,Generalised convulsive epilepsy NOS,diagnostic
F252.00,Petit mal status,diagnostic
F253.00,Grand mal status,diagnostic
F253.11,Status epilepticus,diagnostic
F254.00,Partial epilepsy with impairment of consciousness,diagnostic
F254000,Temporal lobe epilepsy,diagnostic
F254100,Psychomotor epilepsy,diagnostic
F254200,Psychosensory epilepsy,diagnostic
F254300,Limbic system epilepsy,diagnostic
F254400,Epileptic automatism,diagnostic
F254500,Complex partial epileptic seizure,diagnostic
F254z00,Partial epilepsy with impairment of consciousness NOS,diagnostic
F255.00,Partial epilepsy without impairment of consciousness,diagnostic
F255000,Jacksonian; focal or motor epilepsy,diagnostic
F255011,Focal epilepsy,diagnostic
F255012,Motor epilepsy,diagnostic
F255100,Sensory induced epilepsy,diagnostic
F255200,Somatosensory epilepsy,diagnostic
F255300,Visceral reflex epilepsy,diagnostic
F255311,Partial epilepsy with autonomic symptoms,diagnostic
F255400,Visual reflex epilepsy,diagnostic
F255500,Unilateral epilepsy,diagnostic
F255600,Simple partial epileptic seizure,diagnostic
F255y00,Partial epilepsy without impairment of consciousness OS,diagnostic
F255z00,Partial epilepsy without impairment of consciousness NOS,diagnostic
F257.00,Kojevnikov's epilepsy,diagnostic
F25D.00,Menstrual epilepsy,diagnostic
F25E.00,Stress-induced epilepsy,diagnostic
