d26..,clobazam,drug
d261.,*clobazam 10mg capsules,drug
d262.,*frisium 10mg capsules,drug
d263.,clobazam 10mg tablets,drug
d264.,frisium 10mg tablets,drug
d265.,tapclob 5mg/5ml oral susp,drug
d266.,clobazam 5mg/5ml oral susp,drug
d267.,tapclob 10mg/5ml oral susp,drug
d268.,clobazam 10mg/5ml oral susp,drug
dn1..,acetazolamide [epilepsy],drug
dn11.,*diamox [ep] 500mg m/r caps,drug
dn12.,diamox [ep] 250mg tablets,drug
dn1x.,*acetazolamide 500mg m/r caps,drug
dn1y.,acetazolamide [ep] 250mg tabs,drug
dn3..,carbamazepine,drug
dn31.,carbamazepine 100mg tablets,drug
dn32.,carbamazepine 200mg tablets,drug
dn33.,carbamazepine 400mg tablets,drug
dn34.,tegretol 100mg tablets,drug
dn35.,tegretol 200mg tablets,drug
dn36.,tegretol 400mg tablets,drug
dn37.,tegretol 100mg/5ml s/f liquid,drug
dn38.,tegretol retard 200mg m/r tabs,drug
dn39.,tegretol retard 400mg m/r tabs,drug
dn3a.,carbamazepine 200mg m/r tabs,drug
dn3A.,*epimaz 100mg tablets,drug
dn3b.,carbamazepine 400mg m/r tabs,drug
dn3B.,*epimaz 200mg tablets,drug
dn3c.,tegretol 100mg chew tabs,drug
dn3C.,*epimaz 400mg tablets,drug
dn3d.,tegretol 200mg chew tabs,drug
dn3F.,*timonil retard 200mg m/r tabs,drug
dn3G.,*timonil retard 400mg m/r tabs,drug
dn3H.,*teril cr 200mg m/r tablets,drug
dn3I.,*teril cr 400mg m/r tablets,drug
dn3J.,carbagen sr 200mg m/r tablets,drug
dn3K.,carbagen sr 400mg m/r tablets,drug
dn3x.,carbamazepine 200mg chew tabs,drug
dn3y.,carbamazepine 100mg chew tabs,drug
dn3z.,carbamazepine 100mg/5ml sf liq,drug
dn4..,clonazepam [epilepsy control],drug
dn41.,*rivotril 500mcg tablets,drug
dn42.,rivotril 2mg tablets,drug
dn4w.,clonazepam 0.5mg/5ml s/f soln,drug
dn4x.,clonazepam 2mg/5ml s/f soln,drug
dn4y.,clonazepam 500mcg tablets,drug
dn4z.,clonazepam 2mg tablets,drug
dn5..,ethosuximide                                                ,drug
dn51.,*ethosuximide 250mg capsules                                ,drug
dn52.,*ethosuximide 250mg/5ml elixir                              ,drug
dn53.,*emeside 250mg capsules,drug
dn54.,emeside 250mg/5ml syrup,drug
dn55.,*zarontin 250mg capsules,drug
dn56.,zarontin 250mg/5ml syrup,drug
dn5x.,ethosuximide 250mg capsules                                 ,drug
dn5y.,*ethosuximide 250mg/5ml elixir                              ,drug
dn5z.,ethosuximide 250mg/5ml syrup                                ,drug
dn6..,methylphenobarbital,drug
dn61.,*prominal 30mg tablets,drug
dn62.,*prominal 60mg tablets,drug
dn63.,*prominal 200mg tablets,drug
dn6x.,*methylphenobarbitone 30mg tab,drug
dn6y.,*methylphenobarbitone 60mg tab,drug
dn6z.,*methylphenobarb 200mg tabs,drug
dn7..,phenobarbital,drug
dn71.,phenobarbital 15mg tablets,drug
dn72.,phenobarbital 30mg tablets,drug
dn73.,phenobarbital 60mg tablets,drug
dn74.,phenobarbital 100mg tablets,drug
dn75.,*phenobarb sodium 30mg tablets,drug
dn76.,*phenobarb sodium 60mg tablets,drug
dn77.,*phenobarbitone 15mg/10ml elix,drug
dn7a.,*luminal 15mg tablets,drug
dn7b.,*luminal 30mg tablets,drug
dn7c.,*luminal 60mg tablets,drug
dn7d.,phenobarbital 15mg/5ml elixir,drug
dn8..,phenytoin,drug
dn81.,epanutin 30mg/5ml suspension,drug
dn82.,epanutin 50mg infatabs,drug
dn83.,phenytoin 50mg chew tabs,drug
dn8y.,phenytoin 30mg/5ml suspension,drug
