V2_READ_CODE	V2_TERM_CODE	V2_TERM	V3_READ_CODE	V3_TERM_ID	V3_TERM	SNOMED_CONCEPT_ID	SNOMED_DESCRIPTION_ID	SNOMED_TERM	KEY	COMMENTS	REPORT	REQUEST	BATTERY	LEVEL	TEST	RATIO	BOOLEAN	TEXT	STATUS	RELEASE_DATE
33C7.	00	Blood volume estimation	XE1P6	Y7GK2	Total blood volume	1013951000000108	2579851000000114	Blood volume estimation			T	T	F	T	T	F	F	T	C	1997-03-01
423..	00	Haemoglobin estimation	Xa96v	Y7FBh	Haemoglobin concentration	1022431000000105	2553471000000116	Haemoglobin estimation	Hb		T	T	F	T	T	F	F	F	C	1997-03-01
424..	00	Full blood count - FBC	424..	Y7GTK	Full blood count	1022441000000101	2566641000000111	FBC - full blood count	FBC		T	T	T	F	F	F	F	F	C	1997-03-01
425..	00	Haematocrit - PCV	XE2Zq	YabTC	Haematocrit - PCV level	1022291000000105	2575711000000119	Haematocrit		Deleted: ambiguous - use 4257. (Packed cell volume) or 4258. (Haematocrit)	T	T	F	F	T	T	F	F	D	1997-03-01
426..	00	Red blood cell (RBC) count	426..	Y7FCi	Red blood cell count	1022451000000103	2567261000000112	Red blood cell count	RBC		T	T	F	T	T	F	F	F	C	1997-03-01
4266.	00	Nucleated red blood cell count	4266.	YMGpN	Nucleated red blood cell count	1022461000000100	2553481000000119	Nucleated red blood cell count	NRBC	Use this for absolute count - use 42b8. (Percentage nucleated RBCs) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
428..	00	Mean corpusc. haemoglobin(MCH)	XE2pb	Yaba2	Mean cell haemoglobin level	1022471000000107	2583921000000119	MCH - Mean corpuscular haemoglobin	MCH		T	T	F	T	T	F	F	F	C	1997-03-01
429..	00	Mean corpusc. Hb. conc. (MCHC)	429..	Y7FC4	Mean cell Hb concentration	1022481000000109	2553491000000117	MCHC - Mean corpuscular haemoglobin concentration	MCHC		T	T	F	T	T	F	F	F	C	1997-03-01
42A..	00	Mean corpuscular volume (MCV)	42A..	Y7FCs	Mean cell volume	1022491000000106	2575741000000118	MCV - Mean corpuscular volume	MCV		T	T	F	T	T	F	F	F	C	1997-03-01
42B..	00	Plasma viscosity	XE2pd	Y7FKb	Plasma viscosity	1022501000000100	2580951000000116	Plasma viscosity	PV		T	T	F	T	T	F	F	F	C	1997-03-01
42B6.	00	Erythrocyte sedimentation rate	XE2m7	Y7FKU	Erythrocyte sedimentation rate	1022511000000103	2570091000000115	Erythrocyte sedimentation rate	ESR		T	T	T	T	T	F	F	F	C	1997-03-01
42G4.	00	Glucose 6-phosphate dehydrog.	XE24m	YaV2d	Gluc-6-phosphate dehydrog test	1022521000000109	2567281000000115	Glucose 6-phosphate dehydrogenase	G6PD	Update Apr15: For deletion Oct15, use 42G9. RBC G6PD activity	T	T	T	T	T	F	F	F	C	1997-03-01
42G6.	00	Red cell G6PD screening test	42G6.	YMGq4	Red cell G6PD screening test	1022531000000106	2567291000000118	Red blood cell glucose 6-phosphate dehydrogenase screening test	G6PD		T	T	T	F	T	F	T	T	C	1997-03-01
42H..	00	Total white cell count	XaIdY	Yal6t	Total white blood count	1022541000000102	2566651000000114	Total white cell count	WBC		T	T	F	T	T	F	F	F	C	1997-03-01
42J..	00	Neutrophil count	42J..	Y7FGv	Neutrophil count	1022551000000104	2583941000000114	Neutrophil count	NEUT	Use this for absolute count - use 42b0. (Percentage neutrophils) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42K..	00	Eosinophil count	42K..	Y7FAh	Eosinophil count	1022561000000101	2566661000000112	Eosinophil count	EOS	Use this for absolute count - use 42b9. (Percentage eosinophils) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42L..	00	Basophil count	42L..	Y7FGt	Basophil count	1022571000000108	2567301000000119	Basophil count	BASO	Use this for absolute count - use 42b3. (Percentage basophils) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42M..	00	Lymphocyte count	42M..	Y7FGq	Lymphocyte count	1022581000000105	2566671000000117	Lymphocyte count	LYMP	Use this for absolute count - use 42b1. (Percentage lymphocytes) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42M4.	00	Abnormal lymphocytes	XE2bo	YaduW	Atypical lymphocytes	1052251000000101	2648101000000119	Abnormal lymphocyte count		Deleted: this is a result code rather than a classification code and should be avoided	F	F	F	F	T	F	F	F	D	1997-03-01
42N..	00	Monocyte count	42N..	Y7FGk	Monocyte count	1022591000000107	2583951000000112	Monocyte count	MONO	Use this for absolute count - use 42b2. (Percentage monocytes) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42O5.	00	Blast cell count	42O5.	Y7FGi	Blast cell count	1022601000000101	2570111000000113	Blast cell count	BLAST	Use this for absolute count - use 42b5. (Percentage blast cells) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42O6.	00	Promyelocyte count	42O6.	YMGpK	Promyelocyte count	1022611000000104	2566681000000115	Promyelocyte count	PROM	Use this for absolute count - use 42bB. (Percentage promyelocyte count) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42O7.	00	Myelocyte count	42O7.	YMGpP	Myelocyte count	1022621000000105	2566691000000118	Myelocyte count	MYELO	Use this for absolute count - use 42bA. (Percentage myelocyte count) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42O8.	00	Metamyelocyte count	42O8.	YMGpQ	Metamyelocyte count	1022631000000107	2566701000000118	Metamyelocyte count		Use this for absolute count - use 42b4. (Percentage metamyelocytes) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42O9.	00	Myeloblast count	42O9.	YaXyj	Myeloblast count	1022641000000103	2580971000000113	Myeloblast count			T	T	F	T	T	F	F	F	C	1997-03-01
42P..	00	Platelet count	42P..	Y7FHW	Platelet count	1022651000000100	2553501000000111	Platelet count			T	T	F	T	T	F	F	F	C	1997-03-01
42Q..	00	Coagulation/bleeding tests	42Q..	Y7GTS	Blood coagulation test	1028641000000101	2599761000000110	Blood coagulation test		Deleted: ambiguous - use 42h0. (Clotting screening test)	T	T	T	F	F	F	F	F	D	1997-03-01
42Q5.	00	Prothrombin time	42Q5.	Y7FIO	One stage prothrombin time	852471000000107	2207951000000110	Prothrombin time	PT		T	T	T	T	T	F	F	F	C	1997-03-01
42Q6.	00	Partial thromboplastin time	42Q6.	Y7FI3	Activ part thromboplastin time	852511000000103	2208031000000117	Activated partial thromboplastin time	PTT	Deleted Jan 05 - duplicate. Use 42jG. APTT	T	T	F	T	T	F	F	F	D	1997-03-01
42Q9.	00	Fibrinogen assay/titre	X76wQ	Y7FIY	Fibrinogen level	1019301000000109	2566141000000116	Fibrinogen level		Deleted: use 42Qn. (Fibrinogen level)	T	T	F	F	T	F	F	F	D	1997-03-01
42QB.	00	Factor VIII assay	Xa0tY	Ya2JT	Factor VIII level	1022671000000109	2566721000000110	Factor VIII assay	FVII		T	T	T	T	T	F	F	F	C	1997-03-01
42QC.	00	Factor IX assay	X76wE	Y7FIG	Factor IX level	1022681000000106	2553511000000113	Factor IX assay			T	T	F	T	T	F	F	F	C	1997-03-01
42QF.	00	Plasma total protein S level	42QF.	YMGpc	Plasma total protein S level	1022691000000108	2566731000000112	Plasma total protein S level			T	T	F	T	T	F	F	F	C	1997-03-01
42QG.	00	Plasma free:total prtn S ratio	XE2pe	YaeA0	Plasma free/total prot S ratio	1022701000000108	2558711000000114	Plasma free:total protein S ratio			T	T	F	F	T	T	F	F	C	1997-03-01
42QI.	00	Plasma ristocetin cofactor lev	42QI.	YMGpf	Plasma ristocetin cofactor lev	1022711000000105	2558721000000115	Plasma ristocetin cofactor level			T	T	F	T	T	F	F	F	C	1997-03-01
42QJ.	00	Plasma antithrombin III level	42QJ.	YMGph	Plasma antithrombin III level	1028671000000107	2599581000000113	Plasma antithrombin III level	ATIII	Deleted, ambigous. Use either 42QQ. or 42jF.	T	T	F	T	T	F	F	F	D	1997-03-01
42QK.	00	Plasma plasminogen level	42QK.	YMGpg	Plasma plasminogen level	1028681000000109	2599571000000111	Plasma plasminogen level		Deleted - ambiguous. Use either 42jb. Plasma plasminogen activity or 42jc. Plasma plasminogen antigen lev	T	T	F	T	T	F	F	F	D	1997-03-01
42QL.	00	Plasma factor VIII rel antigen	42QL.	YMGq9	Plasma factor VIII rel antigen	1022721000000104	2567321000000111	Plasma factor VIII related antigen test			T	T	F	T	T	F	F	F	C	1997-03-01
42QM.	00	Plasma factor XII level	42QM.	YMGq6	Plasma factor XII level	1022731000000102	2580981000000110	Plasma factor XII level			T	T	F	T	T	F	F	F	C	1997-03-01
42QN.	00	Plasma factor XI level	42QN.	YMGq7	Plasma factor XI level	1022741000000106	2583961000000110	Plasma factor XI level			T	T	F	T	T	F	F	F	C	1997-03-01
42QO.	00	Plasma factor X level	42QO.	YMGq8	Plasma factor X level	1022751000000109	2570121000000119	Plasma factor X level			T	T	F	T	T	F	F	F	C	1997-03-01
42QP.	00	Plasma factor VII level	42QP.	YMGqB	Plasma factor VII level	1022761000000107	2570131000000117	Plasma factor VII level			T	T	F	T	T	F	F	F	C	1997-03-01
42QR.	00	Plasma factor V level	42QR.	YMGqC	Plasma factor V level	1022771000000100	2567331000000113	Plasma factor V level			T	T	F	T	T	F	F	F	C	1997-03-01
42QT.	00	Plasma factor XIII screen test	42QT.	YMGq5	Plasma factor XIII screen test	993301000000101	2554761000000119	Plasma factor XIII screening test			T	T	F	F	T	F	T	T	C	1997-03-01
42QU.	00	Euglobulin clot lysis time	42QU.	Y7FId	Euglobulin clot lysis time	993311000000104	2572211000000116	Euglobulin clot lysis time			T	T	F	T	T	F	F	F	C	1997-03-01
42QV.	00	Thrombophilia screen	42QV.	YaeeH	Thrombophilia screening	991881000000104	2567571000000115	Thrombophilia screening test		Deleted: use 42h1. (Thrombophilia screening test)	T	T	T	F	T	F	T	T	D	1997-03-01
42QX.	00	Dilut Russell viper ven ratio	42QX.	YMGpj	Dilut Russell viper ven ratio	993321000000105	2572221000000110	Dilute Russell viper venom ratio	DRVVT		T	T	F	F	T	T	F	F	C	1997-03-01
42Qa.	00	Protein C function estimate	42Qa.	YaY29	Protein C function estimate	993331000000107	2554771000000114	Protein C function estimate			T	T	F	T	T	F	F	F	C	1997-03-01
42Qb.	00	Protein S function estimate	42Qb.	YaY2A	Protein S function estimate	993341000000103	2572231000000112	Protein S function estimate			T	T	F	T	T	F	F	F	C	1997-03-01
42Qc.	00	Plasma act prot C resistance	42Qc.	YaY2B	Plasma act prot C resistance	993351000000100	2554781000000111	Plasma activated protein C resistance	APCR		T	T	F	F	T	T	F	F	C	1997-03-01
42Qd.	00	Plasma protein C antigen level	42Qd.	YaY2D	Plasma protein C antigen level	993361000000102	2572241000000115	Plasma protein C antigen level			T	T	F	T	T	F	F	F	C	1997-03-01
42Qe.	00	Factor V Leiden genotype	42Qe.	YaduZ	Factor V Leiden genotype	993371000000109	2567831000000115	Factor V Leiden genotype			T	T	F	F	T	F	F	T	C	1997-03-01
42R4.	00	Serum ferritin	XE24r	YabSf	Serum ferritin level	993381000000106	2576261000000118	Serum ferritin level	Fer		T	T	F	T	T	F	F	F	C	1997-03-01
42T..	00	Serum vitamin B12	XE2pf	YabaB	Serum vitamin B12 level	993391000000108	2572251000000117	Serum vitamin B12 level	B12		T	T	F	T	T	F	F	F	C	1997-03-01
42U4.	00	Red blood cell folate	42U4.	Y7FBF	Red blood cell folate level	993401000000106	2568651000000110	Red blood cell folate level	RCF		T	T	F	T	T	F	F	F	C	1997-03-01
42U5.	00	Serum folate	42U5.	Y7FBL	Serum folate level	993411000000108	2567841000000112	Serum folate level	FOL		T	T	T	T	T	F	F	F	C	1997-03-01
42UE.	00	Plasma folate level	X76tC	YaYo4	Plasma folate level	993421000000102	2559321000000113	Plasma folate level	FOL		T	T	F	T	T	F	F	F	C	1997-03-01
42V1.	00	Haemoglobin electrophoresis	42V1.	Y7GU0	Haemoglobin electrophoresis	993431000000100	2554791000000113	Haemoglobin electrophoresis	Hb EP		T	T	T	F	T	F	F	T	C	1997-03-01
42V5.	00	Red cell Hb A2 estimation	42V5.	YMGpZ	Red cell Hb A2 estimation	1031511000000106	2599561000000116	Red cell Haemoglobin A2 estimation	HbA2	Deleted Oct14. Use 42V9. Haemoglobin A2 level	T	T	F	T	T	F	F	F	D	1997-03-01
42V6.	00	Red cell Hb S estimation	XE2wv	Ya2Ep	Haemoglobin S level	1001491000000105	2573101000000118	Haemoglobin S level	HbS	Deleted Jan 05 - duplicate. Use 42VD. Haemoglobin S Level	T	T	F	T	T	F	F	F	D	1997-03-01
42W..	00	Hb. A1C - diabetic control	XE24t	YM0ch	Hb. A1C - diabetic control	269823000	1206383011	Haemoglobin A1C - diabetic control interpretation		Deleted: use 44TB. (Haemoglobin A1c level)	T	T	T	F	F	F	F	F	D	1997-03-01
42X..	00	Reticulocyte count	42X..	Y7FEl	Reticulocyte count	993441000000109	2570671000000113	Reticulocyte count		Use this for absolute count - use 42bC. (Percentage reticulocyte count) for relative count	T	T	F	T	T	F	F	F	C	1997-03-01
42Y0.	00	Carboxyhaemoglobin level	42Y0.	YaXyf	Carboxyhaemoglobin level	851001000000100	2204871000000117	Carboxyhaemoglobin level	COHb		T	T	F	T	T	F	F	F	C	1997-03-01
42Y1.	00	Microscopy malarial parasites	42Y1.	YaXyh	Microscopy malarial parasites	993461000000105	2554801000000112	Microscopy for malarial parasites			T	T	F	F	T	F	F	T	C	1997-03-01
42Z3.	00	Red cell osmotic fragility	XE24v	Y7FEr	Red cell osmotic fragility	993471000000103	2572261000000119	Red blood cell osmotic fragility			T	T	T	T	T	F	F	F	C	1997-03-01
42Z5.	00	Mean platelet volume	42Z5.	Y7FHd	Mean platelet volume	993481000000101	2570681000000110	Mean platelet volume	MPV		T	T	F	T	T	F	F	F	C	1997-03-01
42Z6.	00	Platelet aggregation test	42Z6.	YMGpb	Platelet aggregation test	993491000000104	2554811000000114	Platelet aggregation test			T	T	F	F	T	F	T	T	C	1997-03-01
42Z7.	00	Red blood cell distribut width	XE2mO	Y7FCq	Red blood cell distribut width	993501000000105	2572271000000114	Red blood cell distribution width	RDW		T	T	F	T	T	T	F	F	C	1997-03-01
42Z8.	00	Neutrophil alkaline phos level	42Z8.	YMGpO	Neutrophil alkaline phos level	993511000000107	2570691000000112	Neutrophil alkaline phosphatase level	NAP		T	T	F	T	T	F	F	F	C	1997-03-01
42Z9.	00	Red cell mass	XM0m5	YMGq3	Red cell mass	993521000000101	2568671000000118	Red blood cell mass			T	T	F	T	T	F	F	F	C	1997-03-01
42ZA.	00	Unclassified cells	XE2bp	YaZuj	Unclassified cells	1031521000000100	2600131000000118	Unclassified cells		Deleted: not clinically useful as ambigious if used in isolation	T	T	F	F	T	F	F	F	D	1997-03-01
42ZB.	00	Plasma intr inhib screen test	42ZB.	YaZum	Plasma intr inhib screen test	993531000000104	2554821000000115	Plasma intrinsic inhibitor screening test			T	T	T	F	T	F	T	T	C	1997-03-01
42ZC.	00	Plasma extr inhib screen test	42ZC.	YaZun	Plasma extr inhib screen test	993541000000108	2576301000000111	Plasma extrinsic inhibitor screening test			T	T	T	F	T	F	T	T	C	1997-03-01
42ZD.	00	Large unstained cells	XE2bq	YaZuo	Large unstained cells	993551000000106	2581341000000112	Large unstained cells		Reinstated for March 2003	T	T	F	F	T	F	F	F	C	1997-03-01
42a..	00	Plasma cell count	XE2br	YaY28	Plasma cell count	993561000000109	2570701000000112	Plasma cell count			T	T	F	T	T	F	F	F	C	1997-03-01
43A..	00	Infectious mononucleosis test	XE250	Y7Gaq	Infectious mononucleosis test	993571000000102	2572281000000111	Infectious mononucleosis test			T	T	F	T	T	T	T	T	C	1997-03-01
43F3.	00	R.A. latex test	43F3.	Yae50	Rheumatd arthritis latex test	1029271000000101	2602631000000111	Rheumatoid arthritis latex test		Deleted Oct 14. Outmoded test	T	T	F	T	T	T	T	T	D	1997-03-01
43F5.	00	Serum rheumatoid antigen level	43F5.	YaZuy	Serum rheumatoid antigen level	993581000000100	2570721000000115	Serum rheumatoid antigen level			T	T	F	T	T	T	F	T	C	1997-03-01
43G1.	00	Anti-nuclear factor	XaC2s	YabSg	Anti-nuclear factor level	993591000000103	2568681000000116	Anti-nuclear factor	ANF		T	T	F	T	T	T	F	T	C	1997-03-01
43G2.	00	Antimitochondrial autoantibod.	XE2pg	Yabbq	Antimitochond autoantib level	1016761000000101	2579231000000118	Mitochondrial antibody screening test	AMA	Oct 14: Deleted.  Use reinstated 43c1. Mitochondri antbdy screen test	T	T	T	T	T	T	F	T	D	1997-03-01
43G3.	00	Anti smooth muscle autoantibod	XE2ph	YabaO	Anti-smooth musc autoantib lev	994601000000107	2568841000000111	Anti smooth muscle antibody titre	SMA		T	T	F	T	T	T	T	T	C	1997-03-01
43G4.	00	Parietal cell autoantibodies	XE2pi	YabaP	Parietal cell autoantib level	994661000000106	2559451000000110	Parietal cell autoantibodies	PCA		T	T	F	T	T	T	F	T	C	1997-03-01
43G5.	00	Thyroid autoantibodies	XE257	YabSh	Thyroid autoantibody level	994671000000104	2568011000000119	Thyroid autoantibodies			T	T	T	T	T	T	F	T	C	1997-03-01
43G7.	00	DNA binding autoantibodies	XE2pj	YabaR	DNA binding autoantibody level	994681000000102	2555001000000116	DNA (deoxyribonucleic acid) binding autoantibodies		Apr15: For deletion Oct15. Use 43Gv. dsDNA binding autoantibody lev and 43Gw. ssDNA binding autoantibody lev.	T	T	T	T	T	T	F	T	C	1997-03-01
43G8.	00	IgM anticardiolipins level	43G8.	Yax2a	Se cardiolipin IgM Ab level	1000581000000104	2584341000000110	Serum cardiolipin IgM antibody level		Deleted Oct 14. Use 43GT1 Se cardiolipin IgM Ab level	T	T	F	T	T	T	F	T	D	1997-03-01
43G9.	00	IgG anticardiolipins level	43G9.	Yax2V	Se cardiolipin IgG Ab level	1000591000000102	2560251000000110	Serum cardiolipin IgG antibody level		Deleted Oct 14. Use 43GT0 Se cardiolipin IgG Ab level	T	T	F	T	T	T	F	T	D	1997-03-01
43GA.	00	Platelet antibodies test	43GA.	YMGpa	Platelet antibodies test	994691000000100	2570901000000114	Platelet antibodies test			T	T	F	T	T	T	T	T	C	1997-03-01
43GC.	00	Indirect plat antibody screen	43GC.	YaeeK	Serum indir platelet ab screen	1029301000000103	2602661000000118	Serum indirect platelet antibody screening		Deleted: use 43c2. (Indrct plat antbdy screen test)	T	T	F	T	T	T	T	T	D	1997-03-01
43GE.	00	Lupus anticoagulant screen	43GE.	YaeeL	Lupus antibody screening	1031541000000107	2600981000000117	Lupus antibody screening		Deleted: use 43c3. (Lupus anticoag screening test)	T	T	F	T	T	T	T	T	D	1997-03-01
43GF.	00	Direct platelet antibody test	43GF.	YMGqH	Direct platelet antibody test	994701000000100	2568861000000112	Direct platelet antibody test			T	T	F	T	T	T	T	T	C	1997-03-01
43GG.	00	Autoimmune profile	43GG.	Y7GXO	Autoimmunity profile	996911000000106	2571241000000114	Autoimmune profile			T	T	T	T	F	T	F	T	C	1997-03-01
43GJ.	00	Intrinsic factor antibody	XaDsn	Yadug	Intrinsic factr antibody level	1031021000000107	2603411000000112	Intrinsic factor antibody level			T	T	F	T	T	T	F	T	C	1997-03-01
