CTV3ID	TERMCODE	OBSERVABLE_CONCEPTID	OBSERVABLE_DESCRIPTIONID	USE_ALTERNATE
137H.	Y7DoU			N
137K.	Y7DoX			N
151..	YE2GE			N
152..	Y7EEo	364325004	487467011	Y
229..	YM01m	248333004	370729019	Y
22A..	YM01u	27113001	45352010	Y
22K..	Yakcx	60621009	100716012	Y
235..	YM04L	86290005	143107019	Y
242..	YM05b	78564009	130365016	Y
2469.	YM06S	72313002	120159016	Y
246A.	YM06T	1091811000000102	2734671000000117	Y
2E22.	YM0RE	415882003	2534419012	Y
2E24.	YM0RG	307047009	450211011	Y
2E25.	YM0RH	276885007	413233013	Y
39E..	Y7GMa			N
39E1.	Y7GMb			N
39E2.	Y7GMc			N
39E3.	Y7GMd			N
39E4.	Y7GMe			N
39E5.	Y7GMf			N
4391.	Y79r9			N
44G3.	YawaB			N
44H3.	YM0c4	1000871000000104	2560911000000117	N
44R3.	Y7GNQ	1005681000000107	2577901000000110	N
44R4.	Y7GNS			N
44T9.	Y7GNN			N
44WF.	YaXXC			N
44WF0	YaXz8			N
461..	YE1WK			N
469Z.	Y7GYk	1019581000000105	2569671000000110	N
46E..	Y7FQR			N
46G..	Y7FQ6			A
46G2.	YE2F4			A
46G8.	YabER			A
4921.	Yao9r	1010291000000101	2551931000000113	N
4945.	Y7FTZ	112931000000102	189661000000110	N
496..	Y7FTt			N
49A..	YMGpW	992321000000100	2568521000000118	N
4J43.	Y7FSJ			N
62I..	YE14s	1024221000000101	2566941000000118	N
62U..	YE14y			N
62Z..	YM0sY			N
636..	Ya1DG	364589006	487747015	Y
662N.	YM9hC			N
6694.	Y7A0g	1032161000000109	2606591000000110	N
7L141	Y03cM			N
8B3D.	Y79gn			N
9P12.	Y7ATa			N
K0326	Y31ei			N
L030.	Y40ko			N
L04..	Y40l9			N
L161.	YE0iP			N
L2...	Y40d0			N
R102.	YM13b	1005711000000106	2585781000000117	N
Ua1F9	YMFZz			N
Ua1ZB	YMGXF			N
Ub0lK	YMD0p	30953006	51828014	Y
Ub16p	Ya48E			N
Ub16q	Ya48D			N
Ub16r	Ya490			N
Ub16s	Ya48w			N
Ub16t	Ya48F			N
Ub16u	Ya48L			N
Ub16v	Ya48P			N
Ub16w	Ya48Z			N
Ub16x	Ya48b			N
Ub16y	Ya48x			N
Ub16z	Ya48y			N
Ub170	YMDQ0			N
Ub172	Ya45s	1082631000000102	2712991000000112	Y
Ub173	YMDQ4	1082641000000106	2713011000000113	Y
Ub174	YMDQ5			N
Ub178	Ya48O			N
Ub179	Ya48Y			N
Ub17A	Ya48S			N
Ub17B	Ya48Q			N
Ub17C	Ya48U			N
Ub17D	Ya48V			N
Ub17E	Ya48W			N
Ub17F	Ya48N			N
Ub17G	Ya48X			N
Ub17L	YMDQQ			N
Ub17M	Ya48d			N
Ub17N	Ya48e			N
Ub17O	Ya48f			N
Ub17P	Ya48g			N
Ub17Q	Ya48h			N
Ub17R	Ya48i			N
Ub1lE	YME8t			N
Ub1lW	YME9B			N
X40ND	Y41Xi			N
X50Kp	Y50lc			N
X74V7	Y79RP			N
X74W0	Yaejs			N
X75OP	YM8t2			N
X75PZ	YM8on			N
X75Xk	YM91t	703421000	3008650016	Y
X76C9	Y7DRM	363805003	486929012	Y
X76CA	Y7DRN	363806002	486930019	N
X76Nz	Y7E9O			N
X76Qv	Ya3NA	57036006	497775016	Y
X76uO	Y7FFB	1013771000000102	2605911000000118	N
X76zK	Y7FTC			N
X770k	Y7FYm			A
X770n	Y7FYt			A
X770y	YalmC			A
X7715	Y7FZP			A
X7716	Y7FZR			A
X771f	Y7FbH	1013211000000103	2552341000000113	N
X771l	Y7Fbk	1028261000000102	2600681000000111	N
X7726	Y7FdR	1094371000000101	2741421000000115	Y
X772A	Y7Fdj			N
