READCODE	TERMCODE	OBSERVABLE_CONCEPTID	OBSERVABLE_DESCRIPTIONID	USE_ALTERNATE
12CA.	00			A
12CC.	00			A
12CE.	00			A
12CG.	00			A
136V.	00	1082641000000106	2713011000000113	Y
137H.	00			N
137J.	00			N
137K0	00			N
137M.	00			N
137N.	00			N
137O.	00			N
137P.	00			N
137P.	11			N
137W.	00			N
137i.	00			N
137j.	00			N
137l.	00			N
138G.	00			N
13G1.	00			N
13G61	00			N
13G7.	00			N
13JB.	00			N
14R1.	00			N
14R1.	11			N
1511.	00	66523006	110526011	Y
152..	00	364325004	487467011	Y
1A12.	00	364198000	487338014	N
1D31.	00			N
1D32.	00			N
1D33.	00	162434008	253304011	Y
1D34.	00	162434008	253304011	Y
1D35.	00	162434008	253304011	Y
1D36.	00			N
1D41.	00			N
1D42.	00			N
1D43.	00			N
1D44.	00			N
1D45.	00			N
1D46.	00			N
229..	00	248333004	370729019	Y
229Z.	00	248333004	370729019	Y
22A..	00	27113001	45352010	Y
22AZ.	00	27113001	45352010	Y
22K..	00	60621009	100716012	Y
22L6.	00			N
22Q4.	00	425094009	2643300013	Y
22Q7.	00			N
22QC.	00			N
235..	00	86290005	143107019	Y
235..	11	86290005	143107019	Y
235..	12	86290005	143107019	Y
236..	00	271626009	406481019	Y
236..	11	271626009	406481019	Y
236..	12	249669009	372486019	N
242..	00	78564009	130365016	Y
2469.	00	72313002	120159016	Y
246A.	00	1091811000000102	2734671000000117	Y
249..	00			N
293..	00			N
2E21.	00	415945006	2534418016	Y
2E21.	11	415945006	2534418016	Y
2E22.	00	415882003	2534419012	Y
2E23.	00	415929009	2534420018	Y
2E24.	00	307047009	450211011	Y
2E25.	00	276885007	413233013	Y
2E26.	00	386725007	1480858013	Y
2E27.	00	415974002	2534421019	Y
2E3..	00			N
2E3..	11	703421000	3008650016	Y
2Fb..	00			N
2H9..	00	271773007	406700015	Y
3116.	00			N
312C.	00			N
312H.	00	786391000000106	1758561000000117	Y
312J.	00	786381000000109	1758541000000118	Y
3158.	00	71420008	118644014	Y
3385.	11	13621006	23247012	Y
3386.	11	50834005	84715019	Y
3387.	11			N
33N..	00			N
33N..	11			N
33P..	00			N
3880.	00	446661009	2883863017	N
38800	00	443394008	2840181019	Y
38800	11	443394008	2840181019	Y
3881.	00			N
3883.	00	765147009	3657199015	Y
3885.	00	450320001	2915926015	Y
3886.	00			N
3887.	00	1089081000000103	2728761000000113	Y
3889.	00	763103001	3637873018	Y
388B.	00			N
388C.	00			N
388D.	00	762994006	3637504017	Y
388E.	00	763262001	3638316014	Y
388F.	00	763073004	3637787013	Y
388G.	00	763075006	3637792010	Y
