RC	TC	RANK
9N3G.	00	1
42A..	00	10
8H77.	00	100
Eu50.	00	1000
2465.	00	1001
H17..	11	1002
U29..	00	1003
E2273	00	1004
M110.	00	1005
64N6.	00	1006
K20..	00	1007
3395.	12	1008
SK131	11	1009
9N1g.	00	101
G....	00	1010
442..	12	1011
66U..	00	1012
1716.	11	1013
614..	12	1014
L20..	00	1015
N2450	00	1016
441..	00	1017
8Hc2.	00	1018
B76..	00	1019
46W..	00	102
62...	12	1020
K2710	00	1021
9N0U.	00	1022
H1y1z	14	1023
9N1d.	00	1024
4679.	00	1025
1B8Z.	00	1026
K59z.	11	1027
4K23.	11	1028
919..	00	1029
535..	00	103
M101.	11	1030
196..	11	1031
7C110	00	1032
68N..	00	1033
Eu81z	11	1034
N21z2	00	1035
K190.	11	1036
N142.	13	1037
44D1.	00	1038
S3z..	11	1039
9N1V.	00	104
52B..	11	1040
G20..	11	1041
7L174	00	1042
194..	00	1043
H060.	11	1044
SN582	00	1045
9NP4.	00	1046
168..	12	1047
M18z.	00	1048
26B1.	00	1049
67E..	00	105
64P..	00	1050
9OL1.	00	1051
69D2.	15	1052
A0743	12	1053
7E072	00	1054
6812.	00	1055
F2620	00	1056
SN580	00	1057
661F.	00	1058
E112.	14	1059
1383.	00	106
J12..	00	1060
64P4.	00	1061
S64..	13	1062
52A..	12	1063
4JF4.	00	1064
H330.	00	1065
615..	00	1066
7....	13	1067
F4F14	00	1068
H041.	00	1069
8H54.	00	107
N245.	19	1070
B34..	11	1071
1718.	00	1072
567..	11	1073
1B5..	13	1074
H03..	11	1075
2128.	11	1076
271..	00	1077
H00..	16	1078
24E..	00	1079
62...	00	108
Mz...	00	1080
7D1C2	00	1081
9k18.	00	1082
ZV654	11	1083
H27..	00	1084
649..	00	1085
9O5Z.	00	1086
12C4.	12	1087
4617.	00	1088
9EV2.	00	1089
4I16.	00	109
9OEZ.	00	1090
1F...	00	1091
24D..	16	1092
4I2D.	11	1093
44Z1.	00	1094
13J..	00	1095
G65..	00	1096
TJ003	00	1097
2G5..	00	1098
569M.	11	1099
428..	00	11
6799.	00	110
ZV49z	13	1100
1C9..	11	1101
745H0	00	1102
G30..	15	1103
J10y4	11	1104
S33A.	00	1105
4425.	00	1106
SN52.	11	1107
M01z.	11	1108
5853.	00	1109
4613.	00	111
8B24.	00	1110
24F..	00	1111
268..	00	1112
C109.	12	1113
7N890	00	1114
SE...	00	1115
13G1.	00	1116
141B.	00	1117
M180.	13	1118
AB01.	00	1119
9Z...	00	112
M12z1	11	1120
8B3A2	00	1121
73050	12	1122
7810.	11	1123
42Q..	00	1124
1225.	11	1125
AB200	00	1126
525..	12	1127
44D..	11	1128
1BA5.	11	1129
657H.	00	1129
1C9..	00	113
C109.	00	1131
F586.	00	1132
442..	13	1133
A3B11	00	1134
F340.	12	1135
AB0..	13	1136
388m.	00	1137
4....	12	1138
569P.	00	1139
9N1O.	00	114
AB20.	14	1140
61A1.	00	1141
69D1.	00	1142
22K2.	00	1143
R0608	00	1144
8AD..	11	1145
D00..	12	1146
9O8..	11	1147
S64..	12	1148
8Hm..	00	1149
8CB..	00	115
N245.	00	1150
7911.	12	1151
44H4.	00	1152
E112.	00	1153
SD...	13	1154
ZV49z	12	1155
G6...	00	1156
5254.	11	1157
6A1..	11	1158
1B16.	00	1159
H03..	00	116
M0z..	00	1160
B76..	16	1161
62G..	00	1162
8B35.	00	1163
635..	00	1164
671..	00	1165
M18z.	11	1166
F4Kz1	00	1167
5....	12	1168
1372.	11	1169
1719.	00	117
5295.	00	1170
13If.	00	1171
122..	11	1172
H30..	00	1173
9O3Z.	00	1174
S5z..	00	1175
62B..	00	1176
H120.	11	1177
J521.	00	1178
64...	16	1179
9N1R.	00	118
AB04.	00	1180
G66..	12	1181
8E...	00	1182
8Hn..	00	1183
J5730	00	1184
AD20.	11	1185
62R..	00	1186
43...	00	1187
J10y4	13	1188
915Z.	00	1188
339O.	00	119
6775.	11	1190
4669.	00	1191
R00z2	00	1192
685Z.	00	1193
663B.	00	1194
12C2.	12	1195
7L19G	00	1196
168..	11	1197
66C9.	00	1198
M07z.	13	1199
44M4.	00	12
9N0x.	00	120
617..	00	1200
M101.	12	1201
685A.	00	1202
M02z.	12	1203
N142.	14	1204
M100.	00	1205
923I.	00	1206
M1610	00	1207
8D46.	00	1208
7M0Ey	11	1209
1D14.	00	121
M181.	11	1210
68Q..	00	1211
24D..	00	1212
H27z.	12	1213
U2...	00	1214
19B..	00	1215
9E4..	11	1216
24D..	18	1217
4433.	00	1218
162..	00	1219
9N1P.	00	122
9N7..	00	1220
M181.	12	1221
12C2.	11	1222
H27z.	00	1223
PA0..	12	1224
14G3.	11	1225
K590.	00	1226
R047.	11	1227
J0822	11	1228
SD...	00	1229
