read,bnf,read_new,bnf_new
a....,01.00.00.00,a,01000000
a1...,01.01.00.00,a1,01010000
a11..,01.01.01.00,a11,01010100
a111.,01.01.01.00,a111,01010100
a112.,01.01.01.00,a112,01010100
a113.,01.01.01.00,a113,01010100
a114.,01.01.01.00,a114,01010100
a115.,01.01.01.00,a115,01010100
a116.,01.01.01.00,a116,01010100
a117.,01.01.01.00,a117,01010100
a12..,01.01.01.00,a12,01010100
a121.,01.01.01.00,a121,01010100
a122.,01.01.01.00,a122,01010100
a123.,01.01.01.00,a123,01010100
a124.,01.01.01.00,a124,01010100
a125.,01.01.01.00,a125,01010100
a126.,01.01.01.00,a126,01010100
a127.,01.01.01.00,a127,01010100
a13..,01.01.01.00,a13,01010100
a131.,01.01.01.00,a131,01010100
a132.,01.01.01.00,a132,01010100
a133.,01.01.01.00,a133,01010100
a134.,01.01.01.00,a134,01010100
a135.,01.01.01.00,a135,01010100
a136.,09.02.01.03,a136,09020103
a137.,09.02.01.03,a137,09020103
a14..,01.00.00.00,a14,01000000
a141.,01.00.00.00,a141,01000000
a2...,01.01.00.00,a2,01010000
a21..,01.01.00.00,a21,01010000
a211.,01.01.01.00,a211,01010100
a212.,01.01.01.00,a212,01010100
a213.,01.01.01.00,a213,01010100
a214.,01.01.01.00,a214,01010100
a215.,01.01.01.00,a215,01010100
a216.,01.01.01.00,a216,01010100
a217.,01.01.01.00,a217,01010100
a218.,01.01.01.00,a218,01010100
a219.,01.01.01.00,a219,01010100
a21A.,01.01.01.00,a21A,01010100
a21B.,01.01.01.00,a21B,01010100
a21F.,01.01.01.00,a21F,01010100
a21G.,01.01.01.00,a21G,01010100
a21H.,01.01.01.00,a21H,01010100
a21J.,01.01.01.00,a21J,01010100
a22..,01.01.00.00,a22,01010000
a221.,01.01.01.00,a221,01010100
a222.,00.00.00.00,a222,00000000
a223.,01.01.01.00,a223,01010100
a224.,01.01.02.00,a224,01010200
a225.,01.01.01.00,a225,01010100
a226.,00.00.00.00,a226,00000000
a227.,00.00.00.00,a227,00000000
a228.,01.01.01.00,a228,01010100
a229.,01.01.01.00,a229,01010100
a22a.,01.01.01.00,a22a,01010100
a22b.,01.01.01.00,a22b,01010100
a22c.,00.00.00.00,a22c,00000000
a22d.,00.00.00.00,a22d,00000000
a22e.,00.00.00.00,a22e,00000000
a22f.,00.00.00.00,a22f,00000000
a22g.,01.01.01.00,a22g,01010100
a22h.,00.00.00.00,a22h,00000000
a22i.,01.01.01.00,a22i,01010100
a22j.,00.00.00.00,a22j,00000000
a22k.,01.01.01.00,a22k,01010100
a22l.,01.01.01.00,a22l,01010100
a22m.,01.01.01.00,a22m,01010100
a22n.,01.01.01.00,a22n,01010100
a22o.,01.01.01.00,a22o,01010100
a22p.,01.01.01.00,a22p,01010100
a22q.,01.01.01.00,a22q,01010100
a22r.,01.01.01.00,a22r,01010100
a22s.,01.01.01.00,a22s,01010100
a22t.,01.01.01.00,a22t,01010100
a22u.,01.01.02.00,a22u,01010200
a22v.,01.01.02.00,a22v,01010200
a22w.,01.01.02.00,a22w,01010200
a22x.,01.01.02.00,a22x,01010200
a22y.,01.01.02.00,a22y,01010200
a22z.,01.01.02.00,a22z,01010200
a23..,01.01.00.00,a23,01010000
a231.,01.01.01.00,a231,01010100
a232.,01.01.01.00,a232,01010100
a233.,00.00.00.00,a233,00000000
a234.,00.00.00.00,a234,00000000
a235.,01.01.01.00,a235,01010100
a236.,00.00.00.00,a236,00000000
a237.,01.01.01.00,a237,01010100
a238.,01.01.01.00,a238,01010100
a239.,01.01.01.00,a239,01010100
a23A.,01.01.02.00,a23A,01010200
a23B.,01.01.02.00,a23B,01010200
a23C.,01.01.02.00,a23C,01010200
a23D.,01.01.02.00,a23D,01010200
a23E.,01.01.02.00,a23E,01010200
a23F.,01.01.02.00,a23F,01010200
a23G.,01.01.02.00,a23G,01010200
a23H.,01.01.02.00,a23H,01010200
a23I.,01.01.02.00,a23I,01010200
a23J.,01.01.02.00,a23J,01010200
a23K.,01.01.02.00,a23K,01010200
a23L.,01.01.02.00,a23L,01010200
a23M.,01.01.02.00,a23M,01010200
a23N.,01.01.02.00,a23N,01010200
a23O.,01.01.02.00,a23O,01010200
a23P.,01.01.02.00,a23P,01010200
a23Q.,01.01.02.00,a23Q,01010200
a23R.,01.01.02.00,a23R,01010200
a23a.,01.01.01.00,a23a,01010100
a23b.,01.01.02.00,a23b,01010200
a23c.,01.01.02.00,a23c,01010200
a23d.,01.01.02.00,a23d,01010200
a23e.,01.01.02.00,a23e,01010200
a23f.,01.01.02.00,a23f,01010200
a23g.,01.01.01.00,a23g,01010100
a23h.,01.01.01.00,a23h,01010100
a23i.,01.01.02.00,a23i,01010200
a23j.,01.01.02.00,a23j,01010200
a23k.,01.01.02.00,a23k,01010200
a23l.,00.00.00.00,a23l,00000000
a23m.,01.01.02.00,a23m,01010200
a23n.,01.01.02.00,a23n,01010200
a23o.,01.01.02.00,a23o,01010200
a23p.,01.01.02.00,a23p,01010200
a23q.,01.01.02.00,a23q,01010200
a23r.,01.01.02.00,a23r,01010200
a23s.,01.01.02.00,a23s,01010200
a23t.,01.01.02.00,a23t,01010200
a23u.,01.01.02.00,a23u,01010200
a23v.,01.01.02.00,a23v,01010200
a23w.,01.01.02.00,a23w,01010200
a23x.,01.01.02.00,a23x,01010200
a23y.,01.01.02.00,a23y,01010200
a23z.,01.01.02.00,a23z,01010200
a24..,01.01.00.00,a24,01010000
a241.,01.01.01.00,a241,01010100
a242.,01.01.01.00,a242,01010100
a243.,01.01.01.00,a243,01010100
a244.,01.01.01.00,a244,01010100
a245.,01.01.01.00,a245,01010100
a246.,00.00.00.00,a246,00000000
a247.,01.01.01.00,a247,01010100
a248.,01.01.01.00,a248,01010100
a249.,00.00.00.00,a249,00000000
a24a.,01.01.01.00,a24a,01010100
a24b.,01.01.01.00,a24b,01010100
a24c.,01.01.01.00,a24c,01010100
a24d.,00.00.00.00,a24d,00000000
a24e.,00.00.00.00,a24e,00000000
a24f.,01.01.01.00,a24f,01010100
a24g.,01.01.01.00,a24g,01010100
a24h.,01.01.01.00,a24h,01010100
a24i.,01.01.01.00,a24i,01010100
a24j.,00.00.00.00,a24j,00000000
a24k.,00.00.00.00,a24k,00000000
a24l.,00.00.00.00,a24l,00000000
a24m.,01.01.01.00,a24m,01010100
a24n.,01.01.01.00,a24n,01010100
a24o.,00.00.00.00,a24o,00000000
a24p.,01.01.01.00,a24p,01010100
a24q.,01.01.02.00,a24q,01010200
a24r.,00.00.00.00,a24r,00000000
a24s.,01.01.01.00,a24s,01010100
a24t.,01.01.02.00,a24t,01010200
a24u.,01.01.02.00,a24u,01010200
a24v.,01.01.02.00,a24v,01010200
a24w.,01.01.02.00,a24w,01010200
a24x.,01.03.01.00,a24x,01030100
a24y.,01.01.02.00,a24y,01010200
a24z.,01.01.02.00,a24z,01010200
a3...,01.01.02.00,a3,01010200
a31..,01.01.02.00,a31,01010200
a311.,01.01.02.00,a311,01010200
a312.,01.01.02.00,a312,01010200
a313.,01.01.02.00,a313,01010200
a314.,01.01.01.00,a314,01010100
a315.,01.01.01.00,a315,01010100
a316.,01.01.01.00,a316,01010100
a317.,01.01.01.00,a317,01010100
a318.,09.05.02.02,a318,09050202
a319.,01.01.02.00,a319,01010200
a31A.,01.01.02.00,a31A,01010200
a4...,01.02.00.00,a4,01020000
a41..,01.02.00.00,a41,01020000
a411.,01.02.00.00,a411,01020000
a42..,00.00.00.00,a42,00000000
a421.,00.00.00.00,a421,00000000
a42z.,00.00.00.00,a42z,00000000
a43..,01.02.00.00,a43,01020000
a431.,01.02.00.00,a431,01020000
a44..,01.02.00.00,a44,01020000
a441.,01.02.00.00,a441,01020000
a442.,01.02.00.00,a442,01020000
a443.,01.02.00.00,a443,01020000
a444.,00.00.00.00,a444,00000000
a445.,01.02.00.00,a445,01020000
a446.,01.02.00.00,a446,01020000
a447.,01.02.00.00,a447,01020000
a448.,01.02.00.00,a448,01020000
a449.,00.00.00.00,a449,00000000
a44a.,00.00.00.00,a44a,00000000
a44b.,00.00.00.00,a44b,00000000
a44c.,01.02.00.00,a44c,01020000
a45..,01.02.00.00,a45,01020000
a451.,01.02.00.00,a451,01020000
a452.,00.00.00.00,a452,00000000
a453.,01.02.00.00,a453,01020000
a454.,01.02.00.00,a454,01020000
a455.,01.02.00.00,a455,01020000
a45x.,01.02.00.00,a45x,01020000
a45y.,01.02.00.00,a45y,01020000
a45z.,01.02.00.00,a45z,01020000
a46..,00.00.00.00,a46,00000000
a461.,00.00.00.00,a461,00000000
a46z.,00.00.00.00,a46z,00000000
a47..,01.02.00.00,a47,01020000
a471.,01.02.00.00,a471,01020000
a472.,01.02.00.00,a472,01020000
a473.,01.02.00.00,a473,01020000
a474.,01.02.00.00,a474,01020000
a47y.,01.02.00.00,a47y,01020000
a47z.,01.02.00.00,a47z,01020000
a48..,01.02.00.00,a48,01020000
a481.,01.02.00.00,a481,01020000
a482.,00.00.00.00,a482,00000000
a48y.,01.02.00.00,a48y,01020000
a48z.,00.00.00.00,a48z,00000000
a49..,01.02.00.00,a49,01020000
a491.,01.02.00.00,a491,01020000
a492.,01.02.00.00,a492,01020000
a493.,01.02.00.00,a493,01020000
a49y.,01.02.00.00,a49y,01020000
a49z.,01.02.00.00,a49z,01020000
a4a..,00.00.00.00,a4a,00000000
a4a1.,00.00.00.00,a4a1,00000000
a4az.,00.00.00.00,a4az,00000000
a4b..,01.02.00.00,a4b,01020000
a4b1.,01.02.00.00,a4b1,01020000
a4b2.,01.02.00.00,a4b2,01020000
a4by.,01.02.00.00,a4by,01020000
a4bz.,01.02.00.00,a4bz,01020000
a4c..,01.02.00.00,a4c,01020000
a4c1.,01.02.00.00,a4c1,01020000
a4c2.,01.02.00.00,a4c2,01020000
a4d..,01.02.00.00,a4d,01020000
a4d1.,01.02.00.00,a4d1,01020000
a4d2.,01.02.00.00,a4d2,01020000
a4d3.,01.02.00.00,a4d3,01020000
a4d4.,01.02.00.00,a4d4,01020000
a4d5.,01.02.00.00,a4d5,01020000
a4d6.,01.02.00.00,a4d6,01020000
a4d7.,01.02.00.00,a4d7,01020000
a4dz.,01.02.00.00,a4dz,01020000
a4e..,01.02.00.00,a4e,01020000
a4e1.,01.02.00.00,a4e1,01020000
a4e2.,01.02.00.00,a4e2,01020000
a4e3.,01.02.00.00,a4e3,01020000
a4e4.,01.02.00.00,a4e4,01020000
a4e5.,01.02.00.00,a4e5,01020000
a4e6.,01.02.00.00,a4e6,01020000
a4e7.,01.02.00.00,a4e7,01020000
a4e8.,01.02.00.00,a4e8,01020000
a4e9.,01.02.00.00,a4e9,01020000
a4eA.,01.02.00.00,a4eA,01020000
a4ev.,01.02.00.00,a4ev,01020000
a4ew.,01.02.00.00,a4ew,01020000
a4ex.,01.02.00.00,a4ex,01020000
a4ey.,01.02.00.00,a4ey,01020000
a4ez.,01.02.00.00,a4ez,01020000
a4f..,01.02.00.00,a4f,01020000
a4f1.,01.02.00.00,a4f1,01020000
a4f2.,01.02.00.00,a4f2,01020000
a4f3.,01.02.00.00,a4f3,01020000
a4f4.,01.02.00.00,a4f4,01020000
a4f5.,01.02.00.00,a4f5,01020000
a4g..,01.02.00.00,a4g,01020000
a4h..,01.02.00.00,a4h,01020000
a4i..,01.05.00.00,a4i,01050000
a4i1.,01.05.00.00,a4i1,01050000
a4i2.,01.05.00.00,a4i2,01050000
a5...,01.02.00.00,a5,01020000
a51..,01.02.00.00,a51,01020000
a515.,01.02.00.00,a515,01020000
a516.,01.02.00.00,a516,01020000
a6...,01.03.00.00,a6,01030000
a61..,01.03.01.00,a61,01030100
a611.,01.03.01.00,a611,01030100
a612.,01.03.01.00,a612,01030100
a613.,01.03.01.00,a613,01030100
a614.,01.03.01.00,a614,01030100
a615.,01.03.01.00,a615,01030100
a616.,01.03.01.00,a616,01030100
a617.,01.03.01.00,a617,01030100
a618.,01.03.01.00,a618,01030100
a619.,01.03.01.00,a619,01030100
a61A.,01.03.01.00,a61A,01030100
a61B.,01.03.01.00,a61B,01030100
a61C.,01.03.01.00,a61C,01030100
a61D.,01.03.01.00,a61D,01030100
a61E.,01.03.01.00,a61E,01030100
a61F.,01.03.01.00,a61F,01030100
a61G.,01.03.01.00,a61G,01030100
a61H.,01.03.01.00,a61H,01030100
a61I.,01.03.01.00,a61I,01030100
a61J.,01.03.01.00,a61J,01030100
a61K.,01.03.01.00,a61K,01030100
a61L.,01.03.01.00,a61L,01030100
a61M.,01.03.01.00,a61M,01030100
a61N.,01.03.01.00,a61N,01030100
a61O.,01.03.01.00,a61O,01030100
a61P.,01.03.01.00,a61P,01030100
a61Q.,01.03.01.00,a61Q,01030100
a61R.,01.03.01.00,a61R,01030100
a61S.,01.03.01.00,a61S,01030100
a61T.,01.03.01.00,a61T,01030100
a61U.,01.03.01.00,a61U,01030100
a61a.,01.03.01.00,a61a,01030100
